ID;Departement;Column5;Longitude;Latitude;LonGRD;LatGRD;LonDMS;LatDMS
36100;95;hedouville;2.16667;49.15;-185;54615;21012;490913
36101;95;villers en arthies;1.73333;49.1;-678;54544;14333;490521
36102;95;saint martin du tertre;2.35;49.1;10;54563;22044;490624
36103;95;seugy;2.4;49.1167;64;54579;22338;490716
36104;95;roissy en france;2.51667;49;202;54449;23105;490015
36105;95;boissy l aillerie;2.03333;49.0667;-339;54532;20152;490442
36106;95;la frette sur seine;2.18333;48.9667;-176;54416;21042;485827
36107;95;wy dit joli village;1.83333;49.1;-557;54558;15007;490608
36108;95;deuil la barre;2.33333;48.9833;-9;54417;21943;485830
36109;95;bezons;2.21667;48.9333;-133;54362;21301;485532
36110;95;courdimanche;2;49.0333;-372;54483;20005;490204
36111;95;ronquerolles;2.21667;49.1667;-124;54630;21328;490960
36112;95;saint gratien;2.28333;48.9667;-61;54413;21655;485816
36113;95;bernes sur oise;2.3;49.1667;-40;54623;21802;490940
36114;95;nesles la vallee;2.18333;49.1333;-185;54589;21014;490748
36115;95;chars;1.93333;49.1667;-444;54623;15614;490939
36116;95;viarmes;2.36667;49.1333;38;54587;22213;490740
36117;95;neuilly en vexin;1.98333;49.1667;-400;54632;15835;491006
36118;95;taverny;2.21667;49.0333;-122;54473;21336;490133
36119;95;bessancourt;2.21667;49.0333;-137;54487;21248;490216
36120;95;vigny;1.93333;49.0833;-454;54531;15542;490440
36121;95;ableiges;1.98333;49.0833;-395;54545;15853;490525
36122;95;beaumont sur oise;2.28333;49.1333;-56;54603;21711;490833
36123;95;theuville;2.06667;49.15;-294;54616;20419;490915
36124;95;saint clair sur epte;1.68333;49.2;-730;54675;14046;491227
36125;95;vienne en arthies;1.73333;49.0667;-687;54518;14305;490359
36126;95;cormeilles en parisis;2.2;48.9833;-151;54415;21202;485823
36127;95;labbeville;2.15;49.1333;-215;54594;20835;490805
36128;95;livilliers;2.1;49.1;-269;54551;20541;490544
36129;95;charmont;1.78333;49.1333;-606;54596;14728;490809
36130;95;bouffemont;2.3;49.05;-41;54493;21757;490236
36131;95;berville;2.06667;49.1833;-294;54656;20417;491127
36132;95;sannois;2.25;48.9667;-88;54413;21525;485818
36133;95;villeron;2.53333;49.05;229;54509;23234;490328
36134;95;ecouen;2.38333;49.0167;50;54465;22252;490107
36135;95;saint cyr en arthies;1.75;49.0667;-661;54510;14429;490331
36136;95;saint prix;2.26667;49.0167;-79;54462;21557;490057
36137;95;ennery;2.1;49.0667;-256;54527;20622;490428
36138;95;saint leu la foret;2.25;49.0167;-100;54463;21447;490101
36139;95;attainville;2.35;49.05;10;54508;22044;490326
36140;95;belloy en france;2.38333;49.0833;38;54544;22216;490522
36141;95;frouville;2.15;49.15;-208;54610;20859;490857
36142;95;us;1.96667;49.1;-411;54555;15800;490559
36143;95;champagne sur oise;2.25;49.1333;-112;54595;21408;490809
36144;95;boisemont;2;49.0167;-372;54468;20006;490117
36145;95;chauvry;2.26667;49.05;-77;54504;21601;490314
36146;95;ambleville;1.7;49.15;-712;54610;14145;490855
36147;95;bethemont la foret;2.25;49.05;-93;54505;21510;490317
36148;95;le thillay;2.46667;49;149;54450;22815;490017
36149;95;saint ouen l aumone;2.11667;49.05;-251;54493;20637;490239
36150;95;maffliers;2.31667;49.0833;-32;54530;21828;490438
36151;95;noisy sur oise;2.33333;49.1333;-8;54598;21947;490817
36152;95;nerville la foret;2.28333;49.0833;-64;54544;21644;490523
36153;95;persan;2.26667;49.15;-73;54615;21616;490912
36154;95;l isle adam;2.23333;49.1167;-126;54568;21322;490640
36155;95;garges les gonesse;2.41667;48.9667;71;54413;22400;485819
36156;95;montmagny;2.35;48.9667;10;54415;22045;485825
36157;95;montigny les cormeilles;2.18333;48.9833;-157;54438;21142;485938
36158;95;cormeilles en vexin;2.01667;49.1167;-350;54573;20116;490658
36159;95;cherence;1.68333;49.0833;-734;54544;14035;490521
36160;95;omerville;1.71667;49.1333;-686;54601;14307;490827
36161;95;luzarches;2.41667;49.1167;95;54570;22520;490647
36162;95;aincourt;1.78333;49.0667;-626;54525;14622;490421
36163;95;avernes;1.86667;49.0833;-515;54540;15224;490508
36164;95;herouville;2.13333;49.1;-226;54557;20758;490604
36165;95;fremecourt;2;49.1167;-373;54578;20002;490713
36166;95;fremainville;1.86667;49.0667;-522;54517;15200;490356
36167;95;saint gervais;1.76667;49.1667;-630;54632;14610;491009
36168;95;buhy;1.68333;49.2;-717;54659;14128;491135
36169;95;eaubonne;2.28333;49;-63;54435;21647;485929
36170;95;valmondois;2.2;49.1;-162;54552;21127;490548
36171;95;montsoult;2.31667;49.0667;-29;54524;21838;490417
36172;95;parmain;2.21667;49.1167;-142;54572;21231;490653
36173;95;la roche guyon;1.63333;49.0833;-786;54535;13746;490454
36174;95;argenteuil;2.25;48.95;-99;54387;21451;485652
36175;95;le plessis bouchard;2.23333;49;-111;54447;21412;490010
36176;95;villiers le bel;2.38333;49;60;54454;22325;490032
36177;95;eragny;2.1;49.0167;-272;54464;20529;490102
36178;95;vaudherland;2.48333;49;166;54445;22910;490002
36179;95;gadancourt;1.86667;49.1;-533;54551;15125;490546
36180;95;sarcelles;2.38333;49;46;54441;22241;485950
36181;95;longuesse;1.93333;49.0667;-449;54514;15556;490344
36182;95;nointel;2.3;49.1333;-51;54587;21727;490740
36183;95;le plessis gassot;2.41667;49.0333;88;54481;22456;490160
36184;95;mery sur oise;2.2;49.0667;-167;54515;21111;490349
36185;95;meriel;2.2;49.0833;-146;54533;21218;490445
36186;95;soisy sous montmorency;2.3;48.9833;-41;54431;21759;485916
36187;95;banthelu;1.81667;49.1333;-580;54585;14853;490734
36188;95;guiry en vexin;1.85;49.1333;-541;54565;15059;490631
36189;95;santeuil;1.95;49.1333;-428;54584;15705;490732
36190;95;frepillon;2.21667;49.05;-146;54502;21218;490306
36191;95;bouqueval;2.43333;49.0167;99;54471;22532;490126
36192;95;epinay champlatreux;2.41667;49.0833;84;54539;22444;490506
36193;95;villiers le sec;2.4;49.0667;59;54525;22322;490421
36194;95;beauchamp;2.2;49.0167;-163;54460;21124;490050
36195;95;le mesnil aubry;2.4;49.05;69;54502;22354;490306
36196;95;chatenay en france;2.45;49.0667;135;54519;22729;490360
36197;95;enghien les bains;2.31667;48.9667;-32;54411;21829;485811
36198;95;genainville;1.75;49.1333;-649;54584;14508;490732
36199;95;marines;1.98333;49.15;-392;54606;15901;490842
36200;95;mours;2.26667;49.1333;-74;54593;21612;490801
36201;95;arnouville;2.41667;48.9833;89;54430;22460;485914
36202;95;jagny sous bois;2.45;49.0833;119;54531;22637;490440
36203;95;puiseux pontoise;2.01667;49.05;-351;54508;20115;490324
36204;95;moisselles;2.33333;49.05;0;54500;22010;490260
36205;95;vetheuil;1.7;49.0667;-704;54515;14211;490350
36206;95;villiers adam;2.23333;49.0667;-113;54516;21407;490353
36207;95;maudetour en vexin;1.78333;49.1;-624;54556;14629;490560
36208;95;fosses;2.48333;49.1;189;54553;23024;490553
